date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope
2018-10-29,CANBK.NS,12.07,10-15%,1.59,7.58,5.71,3.27,continuation,continuation,continuation,0.43,0.59,-6.63,-23.89,1.596,2.016,0.792,4.46,1.66,0.94,0.928,1.78,29.69,3.81,4.0,-4.42,-14.86,-2.113
2018-10-29,RPOWER.NS,7.85,7-10%,1.66,0.68,5.75,4.91,flat,continuation,continuation,-1.08,0.74,4.98,-16.59,1.16,1.7,0.682,4.13,1.73,0.8,-2.241,2.15,39.51,18.61,6.0,2.11,-11.21,-0.334
2018-10-29,WELCORP.NS,9.03,7-10%,1.37,1.59,10.22,9.17,flat,continuation,continuation,-0.92,-7.67,-16.61,-3.74,6.535,10.59,0.617,6.13,1.43,0.72,-0.154,1.99,36.46,15.33,1.0,-11.37,-20.28,-4.638
2018-10-29,AUROPHARMA.NS,7.4,7-10%,1.0,-0.33,2.52,0.79,flat,flat,flat,-0.16,-5.16,-2.81,21.78,25.463,27.483,0.927,3.61,1.0,0.87,-0.763,1.14,13.01,36.58,3.0,-4.08,-1.33,-0.663
2018-10-29,NEWGEN.NS,8.6,7-10%,4.41,-0.81,-4.05,2.06,flat,reversal,flat,-1.63,1.35,2.0,-2.61,5.382,5.551,0.97,4.84,5.59,0.66,-13.865,8.49,14.03,15.37,6.0,0.97,-1.02,0.497
2018-10-29,INDIANB.NS,8.59,7-10%,1.44,6.32,3.83,5.41,continuation,continuation,continuation,1.81,1.76,-1.92,-37.09,8.622,12.314,0.7,4.62,1.47,0.84,1.598,1.76,41.45,5.66,2.0,-3.67,-21.14,-2.809
2018-10-29,UNIONBANK.NS,12.15,10-15%,2.13,8.75,10.98,13.99,continuation,continuation,continuation,-2.36,-0.88,-8.06,-26.93,2.401,3.269,0.734,4.42,2.28,1.27,11.036,1.79,41.28,1.47,4.0,-6.72,-18.85,-2.559
2018-10-29,BANKBARODA.NS,8.35,7-10%,1.08,2.71,0.56,3.83,flat,flat,continuation,0.41,-3.65,-5.27,-28.29,3.057,4.322,0.707,3.54,1.1,0.67,-2.742,1.65,37.24,8.63,1.0,-0.88,-19.78,-1.778
2018-10-29,DIVISLAB.NS,14.68,10-15%,4.94,3.17,4.54,1.83,continuation,continuation,flat,0.22,-2.81,-8.06,14.74,45.227,47.078,0.961,3.79,6.32,1.03,3.051,6.17,11.87,29.07,5.0,-2.32,-2.08,-1.997
2018-10-29,RAYMOND.NS,7.68,7-10%,3.28,0.04,2.58,1.7,flat,flat,flat,11.95,10.3,-1.35,-18.85,40.381,38.465,1.05,5.97,3.75,1.67,27.436,2.25,39.79,16.73,0.0,6.31,-5.77,-2.668
2018-10-29,ICICIBANK.NS,10.69,10-15%,2.84,-1.06,1.23,0.07,flat,flat,flat,-1.34,-3.5,2.93,8.14,11.395,13.194,0.864,3.63,3.15,1.08,2.139,2.9,8.98,23.61,3.0,0.31,-2.43,0.485
2018-10-29,SBIN.NS,7.98,7-10%,1.38,1.96,6.72,10.1,flat,continuation,continuation,-0.58,-4.71,-6.5,-13.48,6.036,8.432,0.716,2.46,1.42,0.89,-4.014,1.58,23.99,6.78,1.0,-5.75,-11.66,-1.14
2018-10-29,ADANIPORTS.NS,7.33,7-10%,1.22,-1.16,-2.48,0.97,flat,reversal,flat,-0.49,-3.58,-9.29,-22.94,13.798,15.017,0.919,4.55,1.23,1.16,7.917,1.06,26.47,3.4,1.0,-4.55,-13.56,-2.169
