date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio_x,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope,event_type,kmeans_cluster,entry_price,trader_ret_3d,trader_ret_5d,trader_label_3d,trader_label_5d,clv,imom,atr_ratio_y,structure,intraday_score,event_gap,intraday_move,is_intraday_squeeze,atr_ratio_event,vol_ratio_event,vol_sweet_spot,consec_up_days,is_early_move,body_ratio,upper_wick_ratio,lower_wick_ratio,target_hit,stop_hit
2020-06-16,TATACOMM.NS,8.5,7-10%,5.76,2.98,1.78,1.6,flat,flat,flat,9.99,14.73,19.3,110.36,28.032,21.813,1.285,6.06,7.94,1.44,24.497,5.51,-0.0,166.9,0.0,11.17,30.15,2.114,B_MomentumRun,0,553.590087890625,-1.17,-1.34,loss,loss,0.847,0.381,2.22,mixed,3,4.78,3.55,0.0,2.22,7.94,0.0,2.0,1.0,0.381,0.153,0.466,True,False
2020-06-17,CHOLAFIN.NS,8.2,7-10%,2.08,5.83,21.7,17.0,continuation,continuation,continuation,0.1,-0.16,22.31,-28.5,13.323,11.302,1.179,8.66,2.25,1.17,2.509,1.92,55.36,32.41,4.0,8.03,6.08,1.461,B_MomentumRun,3,175.6668701171875,15.0,10.56,profit,profit,0.867,0.763,1.52,mixed,3,-0.29,8.52,1.0,1.52,2.25,1.0,1.0,1.0,0.763,0.133,0.104,True,False
2020-06-17,KARURVYSYA.NS,7.77,7-10%,6.11,0.18,0.36,12.97,flat,flat,continuation,-0.58,-4.81,11.23,-11.82,1.037,0.966,1.074,5.12,8.6,1.04,-9.187,8.24,67.93,37.33,1.0,2.99,0.94,2.082,C_Shock,3,21.362394332885746,0.18,12.77,flat,profit,0.642,0.519,3.22,weak,1,-0.39,8.19,1.0,3.22,8.6,0.0,0.0,1.0,0.519,0.358,0.123,True,False
2020-06-17,INOXWIND.NS,9.88,7-10%,2.61,9.9,19.19,20.54,continuation,continuation,continuation,-2.72,-2.1,16.96,30.54,0.717,0.464,1.547,9.42,2.95,1.14,-7.2,2.58,58.59,89.69,4.0,7.33,16.91,2.445,B_MomentumRun,3,9.162500381469728,8.46,9.69,profit,profit,1.0,0.712,1.78,mixed,4,2.14,7.58,0.0,1.78,2.95,1.0,0.0,1.0,0.712,0.0,0.288,True,False
2020-06-17,BRIGADE.NS,11.37,10-15%,2.65,1.06,7.38,6.61,flat,continuation,continuation,-2.2,-6.75,27.88,-29.55,12.785,8.719,1.466,10.17,3.0,0.43,-7.386,6.91,51.73,35.08,1.0,9.43,4.34,4.941,D_DeadCat,3,135.63511657714844,6.25,5.49,profit,profit,0.695,0.522,3.28,weak,1,-1.02,12.52,1.0,3.28,3.0,1.0,0.0,1.0,0.522,0.305,0.172,True,True
2020-06-17,BIRLACORPN.NS,9.99,7-10%,0.71,-3.38,6.13,8.49,reversal,continuation,continuation,-1.55,-6.39,30.48,-10.87,21.603,28.652,0.754,4.37,0.73,0.12,-4.211,6.23,37.35,35.49,1.0,0.56,12.68,5.029,D_DeadCat,3,511.8603515625,9.84,12.29,profit,profit,1.0,0.889,1.88,mixed,4,0.08,9.91,1.0,1.88,0.73,0.0,0.0,1.0,0.889,0.0,0.111,True,True
2020-06-17,NCLIND.NS,7.55,7-10%,1.53,-0.07,0.61,-0.88,flat,flat,flat,-1.78,5.11,9.2,15.6,4.671,3.598,1.298,7.29,1.65,1.75,17.781,0.94,52.1,29.42,1.0,4.26,4.81,1.386,B_MomentumRun,0,66.73431396484375,0.68,-0.81,flat,flat,0.738,0.703,1.82,mixed,3,0.15,7.4,1.0,1.82,1.65,1.0,0.0,1.0,0.703,0.262,0.034,False,True
2020-06-18,BEL.NS,7.26,7-10%,2.31,4.16,8.39,8.91,continuation,continuation,continuation,1.42,1.42,13.37,-4.21,1.098,0.909,1.207,5.12,2.45,0.83,0.039,2.95,40.35,27.95,6.0,2.64,3.63,1.968,D_DeadCat,3,24.140932083129883,4.06,4.56,profit,profit,0.929,0.875,1.86,mixed,4,0.42,6.81,1.0,1.86,2.45,1.0,1.0,1.0,0.875,0.071,0.054,True,False
2020-06-18,BAJAJFINSV.NS,7.75,7-10%,1.1,8.7,16.44,10.94,continuation,continuation,continuation,-1.78,-2.35,7.12,-20.18,24.24,27.872,0.87,4.68,1.15,0.76,-4.388,1.52,49.35,26.39,2.0,2.9,5.5,2.129,D_DeadCat,3,588.6556396484375,7.12,2.06,profit,profit,0.85,0.818,1.71,mixed,3,0.0,7.75,1.0,1.71,1.15,0.0,0.0,1.0,0.818,0.15,0.032,True,False
2020-06-18,MUTHOOTFIN.NS,17.62,15%+,6.61,0.36,-4.04,-6.04,flat,reversal,reversal,1.95,4.16,23.25,70.43,48.219,38.899,1.24,5.42,9.53,1.33,9.612,7.18,1.21,111.65,1.0,10.8,21.82,4.145,B_MomentumRun,0,1079.24755859375,-4.38,-6.37,loss,loss,0.854,0.854,3.82,mixed,3,3.73,13.4,0.0,3.82,9.53,0.0,2.0,1.0,0.854,0.146,0.0,True,False
2020-06-18,BHEL.NS,15.66,15%+,3.14,2.2,9.92,19.21,flat,continuation,continuation,-3.17,-8.5,5.78,17.56,2.506,1.776,1.411,8.04,3.57,1.1,1.902,3.24,62.77,49.18,0.0,-1.15,11.33,1.852,E_Mixed,3,32.0208854675293,7.55,16.64,profit,profit,0.89,0.849,2.03,mixed,3,4.37,10.82,0.0,2.03,3.57,1.0,0.0,1.0,0.849,0.11,0.041,True,False
2020-06-18,DCBBANK.NS,11.17,10-15%,2.22,4.55,8.98,3.22,continuation,continuation,continuation,-0.49,-4.5,9.46,-41.63,3.337,3.301,1.011,4.3,2.45,0.85,-2.412,2.9,70.92,22.67,3.0,5.1,-4.44,1.166,D_DeadCat,3,78.62369537353516,4.23,-1.27,profit,loss,0.875,0.861,2.07,mixed,3,2.46,8.5,0.0,2.07,2.45,1.0,0.0,1.0,0.861,0.125,0.014,True,False
2020-06-18,INOXWIND.NS,9.9,7-10%,2.75,6.96,13.78,7.91,continuation,continuation,continuation,9.88,10.98,31.04,59.19,0.765,0.485,1.577,9.89,3.13,1.46,1.436,2.15,54.32,108.44,0.0,16.42,27.0,3.244,B_MomentumRun,0,9.800000190734863,6.38,0.89,profit,flat,1.0,0.483,1.49,weak,2,5.7,3.97,0.0,1.49,3.13,1.0,1.0,1.0,0.483,0.0,0.517,True,False
2020-06-18,JINDALSAW.NS,14.45,10-15%,4.73,-2.79,1.89,1.89,reversal,flat,flat,-3.27,-0.74,8.78,-1.75,1.533,1.366,1.123,5.97,6.15,1.1,-1.493,5.57,48.05,33.75,0.0,2.96,2.39,1.48,D_DeadCat,3,26.661006927490234,4.81,4.81,profit,profit,0.816,0.816,3.05,weak,2,0.28,14.13,1.0,3.05,6.15,0.0,0.0,1.0,0.816,0.184,0.0,False,True
2020-06-18,MSTCLTD.NS,7.57,7-10%,1.57,-0.59,-0.56,-0.78,flat,flat,flat,0.84,-1.72,36.34,30.46,8.637,7.558,1.143,8.57,1.67,0.7,-20.58,2.41,46.64,71.68,2.0,5.99,22.17,4.586,E_Mixed,3,106.0413818359375,0.04,-0.19,flat,flat,0.589,0.564,1.26,weak,2,2.15,5.3,0.0,1.26,1.67,1.0,1.0,1.0,0.564,0.411,0.025,True,True
2020-06-18,HINDCOPPER.NS,10.78,10-15%,3.07,-2.35,3.45,4.24,reversal,continuation,continuation,-0.52,-3.69,14.54,27.49,1.759,1.594,1.104,6.15,3.56,0.79,-12.681,4.49,43.63,57.53,3.0,2.51,9.82,2.476,E_Mixed,3,30.224475860595703,5.95,6.75,profit,profit,0.637,0.637,2.77,weak,2,0.7,10.02,1.0,2.77,3.56,1.0,0.0,1.0,0.637,0.363,0.0,False,True
