date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,clv,imom,gap,atr_ratio,d52w,pre_rng,score_clv,score_imom,score_gap,score_atr,score_d52w,score_prng,intraday_score,structure
2024-05-14,GODFRYPHLP.NS,8.71,7-10%,2.59,-1.66,10.75,9.07,flat,continuation,continuation,0.918,0.813,-0.5,2.52,2.2,2.76,1,1,1,1,1,0,5,strong
2024-05-15,THERMAX.NS,8.35,7-10%,4.55,-2.81,-1.7,1.51,reversal,flat,flat,0.553,0.553,0.61,2.98,-2.19,1.7,0,0,1,1,1,0,3,mixed
2024-05-15,BRIGADE.NS,7.89,7-10%,1.91,1.92,11.53,16.96,flat,continuation,continuation,0.811,0.811,0.68,1.86,6.3,3.58,0,1,1,1,1,0,4,mixed
2024-05-16,OBEROIRLTY.NS,8.7,7-10%,7.09,1.85,3.81,5.36,flat,continuation,continuation,0.884,0.829,1.08,2.49,-5.04,2.8,0,1,1,1,1,0,4,mixed
2024-05-16,HAL.NS,10.07,10-15%,4.23,-1.56,6.9,12.23,flat,continuation,continuation,0.894,0.778,0.78,4.12,-9.78,3.23,0,1,1,0,1,0,3,mixed
2024-05-16,HONAUT.NS,13.09,10-15%,11.89,-5.07,-4.94,-6.77,reversal,reversal,reversal,0.744,0.655,-3.85,8.46,-11.25,4.26,0,0,1,0,1,0,2,weak
2024-05-16,INOXWIND.NS,9.11,7-10%,1.41,-0.11,-1.7,8.13,flat,flat,continuation,0.914,0.792,0.99,1.7,7.94,1.37,1,1,1,1,1,0,5,strong
2024-05-17,IRFC.NS,7.2,7-10%,3.76,6.18,10.36,9.2,continuation,continuation,continuation,0.888,0.787,0.51,2.28,12.34,3.22,0,1,1,1,0,0,3,mixed
2024-05-17,MOIL.NS,19.99,15%+,3.8,1.39,-4.6,-5.65,flat,reversal,reversal,1.0,0.964,0.0,3.6,-13.24,2.72,1,1,1,0,1,0,4,mixed
2024-05-17,GODFRYPHLP.NS,10.98,10-15%,4.24,-1.49,-2.07,-0.94,flat,reversal,flat,0.565,0.535,0.9,4.36,-8.26,3.31,0,0,1,0,1,0,2,weak
2024-05-17,BRIGADE.NS,8.03,7-10%,1.99,1.29,6.22,7.26,flat,continuation,continuation,0.914,0.869,-0.72,2.2,-3.17,3.68,1,1,1,1,1,0,5,strong
2024-05-17,SOBHA.NS,8.36,7-10%,1.35,-5.14,1.2,7.33,reversal,flat,continuation,0.813,0.767,0.85,1.79,5.41,2.78,0,1,1,1,1,0,4,mixed
2024-05-21,BEL.NS,10.46,10-15%,3.84,3.45,8.41,5.45,continuation,continuation,continuation,0.259,-0.741,14.02,1.7,-9.81,3.34,0,0,0,1,1,0,2,weak
2024-05-21,VEDL.NS,11.08,10-15%,2.38,-0.96,-4.05,-5.27,flat,reversal,reversal,0.929,0.67,6.4,1.92,-9.51,2.24,1,0,0,1,1,0,3,mixed
2024-05-21,BALKRISIND.NS,14.57,10-15%,6.84,1.99,-0.29,1.53,flat,flat,flat,0.605,0.502,8.76,4.94,-9.89,2.82,0,0,0,0,1,0,1,weak
2024-05-22,PNCINFRA.NS,13.05,10-15%,13.59,3.81,1.96,1.18,continuation,flat,flat,0.704,0.704,3.75,4.51,-7.83,3.35,0,1,1,0,1,0,3,mixed
2024-05-23,ADANIENT.NS,7.84,7-10%,3.2,-0.07,-4.23,-5.7,flat,reversal,reversal,0.931,0.853,0.5,3.05,-1.11,1.29,1,1,1,0,1,0,4,mixed
2024-05-24,INOXWIND.NS,9.06,7-10%,1.36,-0.52,-13.09,-9.73,flat,reversal,reversal,0.851,0.532,5.76,1.18,0.45,0.72,0,0,0,1,1,0,2,weak
2024-05-27,GLENMARK.NS,8.06,7-10%,7.6,3.64,3.26,5.07,continuation,continuation,continuation,0.946,0.946,-0.46,3.2,-1.95,0.59,1,1,1,0,1,0,4,mixed
2024-05-27,ASHOKLEY.NS,7.59,7-10%,3.17,0.07,-3.07,4.32,flat,reversal,continuation,0.898,0.682,2.52,2.35,-3.3,0.84,0,0,1,1,1,0,3,mixed
2024-05-29,GRINDWELL.NS,8.33,7-10%,9.25,-3.23,-0.56,-7.14,reversal,flat,reversal,0.838,0.727,0.0,3.61,-4.49,0.97,0,1,1,0,1,0,3,mixed
2024-05-30,EMAMILTD.NS,16.8,15%+,9.87,2.23,2.7,15.63,flat,flat,continuation,0.925,0.925,0.08,5.9,-4.86,1.43,1,1,1,0,1,0,4,mixed
2024-05-31,POLICYBZR.NS,8.77,7-10%,9.28,-0.75,-0.08,-0.18,flat,flat,flat,0.664,0.46,2.94,2.32,7.57,3.05,0,0,1,1,1,0,3,mixed
2024-05-31,NEWGEN.NS,7.33,7-10%,1.56,-0.99,-3.93,3.88,flat,reversal,continuation,0.863,0.674,0.79,1.75,13.65,1.51,0,0,1,1,0,0,2,weak
2024-06-03,SBIN.NS,9.07,7-10%,3.01,-14.4,-9.79,-8.15,reversal,reversal,reversal,0.885,0.762,4.0,2.98,-7.66,0.48,0,1,1,1,1,1,5,strong
2024-06-03,POWERGRID.NS,8.92,7-10%,2.96,-12.35,-11.02,-6.47,reversal,reversal,reversal,0.522,0.115,8.06,2.47,-3.02,1.39,0,0,0,1,1,0,2,weak
2024-06-03,NTPC.NS,9.14,7-10%,2.66,-15.45,-10.73,-6.87,reversal,reversal,reversal,0.929,0.344,7.24,1.96,-2.97,1.08,1,0,0,1,1,0,3,mixed
2024-06-03,ONGC.NS,7.47,7-10%,2.11,-16.83,-11.19,-8.78,reversal,reversal,reversal,0.816,0.461,5.14,1.69,3.02,1.8,0,0,0,1,1,0,2,weak
2024-06-03,ADANIPORTS.NS,10.2,10-15%,4.29,-21.15,-14.58,-12.62,reversal,reversal,reversal,0.567,0.405,7.76,1.86,-8.71,1.41,0,0,0,1,1,0,2,weak
2024-06-03,PRESTIGE.NS,8.62,7-10%,1.79,-12.88,1.39,6.12,reversal,flat,continuation,0.588,0.498,4.85,1.36,-3.53,2.5,0,0,1,1,1,0,3,mixed
2024-06-03,PHOENIXLTD.NS,7.85,7-10%,0.61,-2.55,-4.04,-0.43,reversal,reversal,flat,0.796,0.513,4.04,1.54,-0.78,1.39,0,0,1,1,1,0,3,mixed
2024-06-03,LICHSGFIN.NS,7.63,7-10%,2.21,-15.27,-4.39,-0.96,reversal,reversal,flat,0.866,0.323,5.9,1.67,0.3,1.0,0,0,0,1,1,0,2,weak
2024-06-03,BEL.NS,7.67,7-10%,1.37,-19.8,-14.12,-11.06,reversal,reversal,reversal,0.682,-0.318,9.14,1.23,-5.1,0.85,0,0,0,1,1,0,2,weak
2024-06-03,BANKBARODA.NS,12.1,10-15%,3.2,-16.4,-9.45,-6.92,reversal,reversal,reversal,0.879,0.879,4.57,2.73,-3.97,1.04,0,1,1,1,1,0,4,mixed
2024-06-03,CANBK.NS,8.69,7-10%,1.49,-14.35,-7.99,-5.63,reversal,reversal,reversal,0.899,0.535,5.76,1.52,-1.32,0.85,0,0,0,1,1,0,2,weak
2024-06-05,INDUSINDBK.NS,7.87,7-10%,2.46,-1.32,-1.01,-1.11,flat,flat,flat,0.896,0.7,0.65,3.46,11.42,3.02,0,0,1,0,0,0,1,weak
2024-06-05,HINDALCO.NS,7.12,7-10%,2.27,-2.55,-2.71,-3.07,reversal,reversal,reversal,0.942,0.729,-3.4,3.71,2.8,2.86,1,1,1,0,1,0,4,mixed
2024-06-05,ADANIPORTS.NS,8.46,7-10%,2.39,-0.12,2.17,2.9,flat,flat,flat,0.935,0.355,2.57,2.96,16.45,7.6,1,0,1,1,0,0,3,mixed
2024-06-05,ADANIGREEN.NS,11.11,10-15%,1.57,1.99,2.82,-0.08,flat,flat,flat,0.933,0.41,3.52,3.1,15.88,6.77,1,0,1,0,0,0,2,weak
2024-06-05,VOLTAS.NS,7.39,7-10%,0.93,-0.7,0.1,-0.85,flat,flat,flat,0.906,0.78,0.13,2.33,2.84,1.44,1,1,1,1,1,0,5,strong
2024-06-05,AMBUJACEM.NS,7.6,7-10%,1.55,1.86,6.92,11.65,flat,continuation,continuation,0.943,0.463,3.31,2.03,11.49,5.96,1,0,1,1,0,0,3,mixed
2024-06-05,PRESTIGE.NS,8.69,7-10%,1.69,7.08,12.07,12.46,continuation,continuation,continuation,0.734,0.391,-0.38,3.32,7.95,5.41,0,0,1,0,1,0,2,weak
2024-06-05,HDFCAMC.NS,7.17,7-10%,1.86,1.49,2.3,8.06,flat,flat,continuation,0.88,0.658,1.46,1.99,11.5,5.49,0,0,1,1,0,0,2,weak
